PostalCode,Borough,Neighborhood,Latitude,Longitude
M1B,Scarborough,"Rouge, Malvern",43.8066863,-79.1943534
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.1604971
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
M1G,Scarborough,Woburn,43.7709921,-79.2169174
M1H,Scarborough,Cedarbrae,43.773136,-79.2394761
M1J,Scarborough,Scarborough Village,43.7447342,-79.2394761
M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.2620294
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.7111117,-79.2845772
M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.2394761
M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481
M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.273304
M1R,Scarborough,"Maryvale, Wexford",43.7500715,-79.2958491
M1S,Scarborough,Agincourt,43.7942003,-79.2620294
M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021
M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772
M1W,Scarborough,"L'Amoreaux West, Steeles West",43.7995252,-79.3183887
M1X,Scarborough,Upper Rouge,43.8361247,-79.2056361
M2H,North York,Hillcrest Village,43.8037622,-79.3634517
M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
M2K,North York,Bayview Village,43.7869473,-79.385975
M2L,North York,"Silver Hills, York Mills",43.7574902,-79.3747141
M2M,North York,"Newtonbrook, Willowdale",43.789053,-79.4084928
M2N,North York,Willowdale South,43.7701199,-79.4084928
M2P,North York,York Mills West,43.7527583,-79.4000493
M2R,North York,Willowdale West,43.7827364,-79.4422593
M3A,North York,Parkwoods,43.7532586,-79.3296565
M3B,North York,Don Mills North,43.7459058,-79.352188
M3C,North York,"Flemingdon Park, Don Mills South",43.7258997,-79.340923
M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593
M3J,North York,"Northwood Park, York University",43.7679803,-79.4872619
M3K,North York,"CFB Toronto, Downsview East",43.7374732,-79.4647633
M3L,North York,Downsview West,43.7390146,-79.5069436
M3M,North York,Downsview Central,43.7284964,-79.4956974
M3N,North York,Downsview Northwest,43.7616313,-79.5209994
M4A,North York,Victoria Village,43.7258823,-79.3155716
M4B,East York,"Woodbine Gardens, Parkview Hill",43.7063972,-79.309937
M4C,East York,Woodbine Heights,43.6953439,-79.3183887
M4E,East Toronto,The Beaches,43.6763574,-79.2930312
M4G,East York,Leaside,43.7090604,-79.3634517
M4H,East York,Thorncliffe Park,43.7053689,-79.3493719
M4J,East York,East Toronto,43.685347,-79.3381065
M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
M4L,East Toronto,"The Beaches West, India Bazaar",43.6689985,-79.3155716
M4M,East Toronto,Studio District,43.6595255,-79.340923
M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901
M4P,Central Toronto,Davisville North,43.7127511,-79.3901975
M4R,Central Toronto,North Toronto West,43.7153834,-79.4056784
M4S,Central Toronto,Davisville,43.7043244,-79.3887901
M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599
M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.6864123,-79.4000493
M4W,Downtown Toronto,Rosedale,43.6795626,-79.3775294
M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.667967,-79.3676753
M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599
M5A,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359
M5B,Downtown Toronto,"Ryerson, Garden District",43.6571618,-79.3789371
M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179
M5E,Downtown Toronto,Berczy Park,43.6447708,-79.3733064
M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
M5H,Downtown Toronto,"Adelaide, King, Richmond",43.6505712,-79.3845675
M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.3817523
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.6471768,-79.3815764
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.3798169
M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
M5N,Central Toronto,Roselawn,43.7116948,-79.4169356
M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.6969476,-79.4113072
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784
M5S,Downtown Toronto,"Harbord, University of Toronto",43.6626956,-79.4000493
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493
M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.374846
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
M6A,North York,"Lawrence Heights, Lawrence Manor",43.718518,-79.4647633
M6B,North York,Glencairn,43.709577,-79.4450726
M6C,York,Humewood-Cedarvale,43.6937813,-79.4281914
M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512
M6G,Downtown Toronto,Christie,43.669542,-79.4225637
M6H,West Toronto,"Dovercourt Village, Dufferin",43.6690051,-79.4422593
M6J,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497
M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.6368472,-79.4281914
M6L,North York,"Maple Leaf Park, North Park, Upwood Park",43.7137562,-79.4900738
M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.6911158,-79.4760133
M6N,York,"The Junction North, Runnymede",43.6731853,-79.4872619
M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.4647633
M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
